CardName,TaxDate,NumAtCard,U_CUINNUMBER,Taxable Amount,VAT AMOUNT
RAA LIMITED,22/08/2023,531061,0011040770000009092,15396.0,2463.36
254 BREWING COMPANY LIMITED,26/08/2023,INV-015191,0190443080000003098,13448.25,2151.72
GITHUNGURI DAIRY FARMERS,29/08/2023,P1871126/INV,0190431800000202168,1458.0,233.28
RADBONE CLARK  K  LTD,29/08/2023,271563,0010195890000025459,193338.38,30934.14
NEW KCC LTD,30/08/2023,95120877,0190428740000101480,4352.13,696.34
KENAFRIC BAKERY LTD,30/08/2023,955308,0010195680000098630,1566.0,250.56
DEVYANI FOOD INDUSTRIES K LIMITED MILK AND YOGHURT,30/08/2023,9730264504,0040094810000166446,1072.75,171.64
CHER BEAUTY SHOP,30/08/2023,40276#,0432012890000000125,11379.31,1820.69
P Z CUSSONS AND COMPANY LTD HQ,25/08/2023,112306632,0110167920000008516,28862.94,4618.07
ONE STOP ENTERPRISE,11/08/2023,38848,0431566180000001522,13334.0,2133.44
KENAFRIC BAKERY LTD,29/08/2023,954529,0010192830000066445,270.0,43.2
DHARAMSHI LAKHAMSHI AND CO LTD,22/08/2023,70605,0190173170000002085,19602.0,3136.32
TROPICAL HEAT LTD,28/08/2023,536222,0020001120000034089,233035.0,37285.6
EAST AFRICA UNILEVER  K  U L,20/08/2023,5230253354,0110161060000007629,90257.69,14441.23
GLAXOSMITHKLINE LTD,17/08/2023,9008929195,0040559040000002712,33755.19,5400.83
NEW KCC LTD,29/08/2023,95119725,0190428760000004456,32006.19,5120.99
HASBAH KENYA LTD CADBURY,26/08/2023,NBIINV1078301,0090972930000024966,48285.69,7725.71
254 BREWING COMPANY LIMITED,19/08/2023,#INV-015112,0190443080000003026,18000.0,2880.0
HEALTHCARE DIRECT K LTD,28/08/2023,108771,0040073490000008086,1680.0,268.8
UNGA LTD,22/08/2023,920060892,0040088650000004670,38563.63,6170.18
KENAFRIC BAKERY LTD,30/08/2023,955391,0010195680000098606,576.0,92.16
DOMAINE KENYA LTD,29/08/2023,000433,0430835760000000433,26185.31,4189.65
BOWIP AGENCIES LTD,29/08/2023,169733,0020115770000006182,41513.5,6642.16
NORDA INDUSTRIES LTD.,29/08/2023,INV202312560,0110396260000019162,9998.5,1599.76
DPL FESTIVE  LIMITED,30/08/2023,5401125,0020108550000331904,3369.88,539.18
GLACIER PRODUCTS LTD G P,24/08/2023,446885,0190979210000027794,90177.25,14428.36
RELIABLE FOOD AND LOGISTICS LIMITED,16/08/2023,INV54882,0040096760000008390,16783.25,2685.32
JESSICA INTERNATIONAL,22/08/2023,3724,0210354770000000453,13333.44,2133.35
NEW ITALYCOR LTD,21/08/2023,130784,0171505940000006501,7484.38,1197.5
GITHUNGURI DAIRY FARMERS,28/08/2023,W0035736/INV,0190431670000066726,9600.25,1536.04
PORTCROSS LTD  PC.,23/08/2023,INV54186,0110167320000008181,60647.75,9703.64
SOYS LIMITED,22/08/2023,2093948,0040092680000020787,50948.25,8151.72
MISS BEAUTY COMPANY LTD HQ,25/08/2023,MB-10969-2023,0110152390000001316,119326.5,19092.24
FINSBURY TRADING LIMITED MSA,24/08/2023,NIN74158,0110399950000020846,29546.56,4727.45
